1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Column_2,Column_3,Column_5,Column_7,column_17
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,43,7,9,4,5
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,44,1,4,2,2
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,45,7,5,3,4
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,46,6,13,3,4
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,47,7,10,4,3
1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,48,7,4,2,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,49,7,5,2,7
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,50,7,11,2,1
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6,51,5,13,2,2
0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,52,7,3,4,5
0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,53,7,4,2,7
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,54,7,7,4,3
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,55,7,6,2,1
0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,56,2,9,3,9
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,57,7,14,2,4
0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,58,1,12,2,1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,59,1,5,2,10
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,60,1,3,2,2
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,61,7,10,2,6
0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,62,3,4,2,6
1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,63,7,18,2,9
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,64,7,5,2,7
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,65,7,19,2,1
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,66,2,4,2,2
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,67,4,11,3,3
1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,68,7,20,2,1
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,69,7,4,4,1
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,70,7,2,2,1
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,71,2,9,2,11
0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,72,2,10,2,2
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,73,7,4,2,9
1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,74,7,5,2,3
1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,75,7,4,2,3
0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,76,7,13,2,3
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,77,7,3,2,3
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,78,7,9,2,3
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,79,7,14,2,3
0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,80,7,4,2,3
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,81,7,13,2,1
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,82,7,3,2,7
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,83,7,9,2,3
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1,84,1,5,2,2
0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,85,7,3,2,1
0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,86,7,4,2,3
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2,87,7,14,2,3
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,88,8,10,2,7
0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,89,7,3,4,1
0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,90,7,4,2,7
0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,91,7,5,3,9
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,92,7,3,2,1
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,93,3,10,3,3
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,94,7,5,4,1
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,95,7,4,2,1
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,96,7,7,2,2
1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,97,7,9,2,2
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,98,7,4,4,5
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,99,6,13,2,1
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,100,7,9,4,1
