1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Column_1,Column_2,Column_3,Column_5,Column_7
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1,3,54,7,7,4
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,1,55,7,6,2
0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2,9,56,2,9,3
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2,4,57,7,14,2
0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2,1,58,1,12,2
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,10,59,1,5,2
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,2,60,1,3,2
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4,6,61,7,10,2
0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3,6,62,3,4,2
1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1,9,63,7,18,2
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,7,64,7,5,2
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1,65,7,19,2
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,2,66,2,4,2
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,3,67,4,11,3
1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,1,68,7,20,2
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,69,7,4,4
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1,70,7,2,2
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,11,71,2,9,2
0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,2,72,2,10,2
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,9,73,7,4,2
1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,3,74,7,5,2
1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,3,75,7,4,2
0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,3,76,7,13,2
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,3,77,7,3,2
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,3,78,7,9,2
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,3,79,7,14,2
0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,3,80,7,4,2
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,81,7,13,2
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,7,82,7,3,2
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,3,83,7,9,2
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1,2,84,1,5,2
0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,1,85,7,3,2
0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,3,86,7,4,2
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2,3,87,7,14,2
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,7,88,8,10,2
0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,1,89,7,3,4
0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,7,90,7,4,2
0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,9,91,7,5,3
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,1,92,7,3,2
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,3,93,3,10,3
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,1,94,7,5,4
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,1,95,7,4,2
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,2,96,7,7,2
1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,2,97,7,9,2
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,5,98,7,4,4
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,99,6,13,2
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,1,100,7,9,4
