0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Column_1,Column_2,Column_3,Column_5,Column_7,column_17
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,70,7,2,2,1
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,11,71,2,9,2,2
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,2,72,2,10,2,7
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,9,73,7,4,2,4
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,3,74,7,5,2,1
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,3,75,7,4,2,1
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,76,7,13,2,3
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,3,77,7,3,2,7
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,3,78,7,9,2,2
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,3,79,7,14,2,2
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,80,7,4,2,3
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,81,7,13,2,7
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,7,82,7,3,2,4
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,3,83,7,9,2,2
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,2,84,1,5,2,1
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,1,85,7,3,2,7
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,3,86,7,4,2,4
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,3,87,7,14,2,2
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,7,88,8,10,2,6
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,1,89,7,3,4,5
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,7,90,7,4,2,3
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,9,91,7,5,3,3
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,92,7,3,2,4
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,3,93,3,10,3,1
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,94,7,5,4,1
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,1,95,7,4,2,2
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,2,96,7,7,2,1
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,2,97,7,9,2,6
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,5,98,7,4,4,1
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,99,6,13,2,7
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1,100,7,9,4,2
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Column_1,Column_2,Column_3,Column_5,Column_7,column_17
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,7,1,1,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,2,2,2,2,2,1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3,3,3,3,2,4
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,4,7,4,3,1
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,5,7,5,2,1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,2,6,2,6,1,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,2,7,2,7,2,1
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,6,8,3,8,2,4
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,6,9,7,9,2,4
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,2,10,7,10,2,1
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4,11,7,11,3,1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,5,12,1,12,2,2
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,6,13,3,13,2,4
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,14,7,3,4,7
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,15,7,13,4,7
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,16,7,5,4,7
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,1,17,1,9,2,2
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,18,2,2,2,1
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3,19,7,8,1,4
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,3,20,4,5,1,1
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,1,21,1,14,2,2
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,7,22,1,15,2,2
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,8,23,2,4,3,1
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,7,24,1,9,2,2
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,1,25,7,10,4,6
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,7,26,7,3,2,5
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,7,26,7,3,2,5
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,7,27,7,7,2,1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,28,7,6,2,1
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,4,29,2,16,3,1
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,1,30,7,10,4,6
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,31,7,5,4,1
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,2,32,2,4,2,1
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,8,33,5,9,5,2
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,3,34,1,3,2,4
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,3,35,3,10,2,1
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,2,36,7,5,2,1
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,37,7,11,2,2
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,38,7,3,2,4
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,3,39,3,17,2,6
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,5,40,7,18,4,6
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,5,41,7,12,4,2
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,1,42,7,13,3,6
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,5,43,7,9,4,2
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,2,44,1,4,2,1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4,45,7,5,3,1
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,4,46,6,13,3,7
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,3,47,7,10,4,1
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,48,7,4,2,1
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,7,49,7,5,2,1
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,50,7,11,2,1
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,2,51,5,13,2,6
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,52,7,3,4,5
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,53,7,4,2,7
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,3,54,7,7,4,1
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,55,7,6,2,1
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,9,56,2,9,3,2
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,4,57,7,14,2,2
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,1,58,1,12,2,2
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,10,59,1,5,2,2
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,2,60,1,3,2,4
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,6,61,7,10,2,4
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,6,62,3,4,2,3
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,9,63,7,18,2,1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,7,64,7,5,2,1
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,65,7,19,2,1
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,2,66,2,4,2,1
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,3,67,4,11,3,1
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,68,7,20,2,1
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,69,7,4,4,1
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,70,7,2,2,1
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,11,71,2,9,2,2
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,2,72,2,10,2,7
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,9,73,7,4,2,4
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,3,74,7,5,2,1
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,3,75,7,4,2,1
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,76,7,13,2,3
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,3,77,7,3,2,7
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,3,78,7,9,2,2
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,3,79,7,14,2,2
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,80,7,4,2,3
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,81,7,13,2,7
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,7,82,7,3,2,4
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,3,83,7,9,2,2
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,2,84,1,5,2,1
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,1,85,7,3,2,7
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,3,86,7,4,2,4
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,3,87,7,14,2,2
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,7,88,8,10,2,6
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,1,89,7,3,4,5
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,7,90,7,4,2,3
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,9,91,7,5,3,3
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,92,7,3,2,4
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,3,93,3,10,3,1
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,94,7,5,4,1
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,1,95,7,4,2,2
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,2,96,7,7,2,1
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,2,97,7,9,2,6
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,5,98,7,4,4,1
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,99,6,13,2,7
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,1,100,7,9,4,2
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_9,column_17
aardvark,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,7,3,1,3,1,1,1
antelope,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,2,2,2,3,2,6,2,2,1
bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,3,3,3,3,3,22,2,3,4
bear,1,0,0,1,0,0,1,1,1,1,0,0,4,0,0,1,1,1,7,3,4,3,3,4,1
boar,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,4,7,3,5,6,2,5,1
buffalo,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,2,2,2,3,6,3,1,6,1
calf,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,2,2,2,3,7,22,2,3,1
carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,6,3,3,3,8,22,2,3,4
catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,6,3,7,3,9,22,2,3,4
cavy,1,0,0,1,0,0,0,1,1,1,0,0,4,0,1,0,2,2,7,3,10,19,2,7,1
cheetah,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4,1,7,3,11,22,3,2,1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,5,4,1,3,12,19,2,3,2
chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,6,3,3,3,13,22,2,3,4
clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,7,5,7,3,3,19,4,7,7
crab,0,0,1,0,0,1,1,0,0,0,0,0,4,0,0,0,7,6,7,3,13,19,4,7,7
crayfish,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7,7,7,3,5,19,4,7,7
crow,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,1,6,1,3,9,19,2,3,2
deer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,2,2,3,2,6,2,4,1
dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,3,3,7,3,8,22,1,3,4
dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,3,3,4,3,5,6,1,2,1
dove,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,1,8,1,3,14,19,2,3,2
duck,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,0,7,4,1,3,15,19,2,3,2
elephant,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,8,2,2,1,4,3,3,5,1
flamingo,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,1,7,10,1,3,9,22,2,4,2
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,1,9,7,2,10,19,4,7,6
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,7,9,7,3,3,19,2,7,5
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,7,9,7,3,3,19,2,7,5
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,7,9,7,3,7,19,2,7,1
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,8,7,3,6,22,2,3,1
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,4,2,2,3,16,6,3,5,1
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,1,2,7,3,10,19,4,7,6
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,9,7,2,5,19,4,7,1
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,2,2,2,3,4,22,2,5,1
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,8,2,5,3,9,6,5,5,2
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,3,6,1,3,3,22,2,3,4
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,3,3,3,3,10,22,2,3,1
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,2,4,7,3,5,19,2,3,1
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,2,2,7,3,11,19,2,5,2
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,7,3,3,22,2,2,4
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,3,3,3,3,17,22,2,3,6
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,5,10,7,3,18,19,4,7,6
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,5,7,7,2,12,19,4,7,2
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,1,8,7,3,13,19,3,3,6
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,5,9,7,3,9,19,4,7,2
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,2,8,1,3,4,19,2,2,1
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,4,1,7,3,5,22,3,5,1
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,4,1,6,3,13,6,3,5,7
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,3,6,7,3,10,22,4,7,1
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1,1,7,3,4,22,2,5,1
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,7,1,7,3,5,19,2,5,1
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,9,7,3,11,19,2,7,1
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,2,1,5,3,13,22,2,5,6
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5,9,7,3,3,19,4,7,5
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7,9,7,3,4,19,2,7,7
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,3,5,7,3,7,22,4,7,1
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1,6,7,3,6,22,2,7,1
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,9,2,2,3,9,22,3,5,2
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,4,2,7,3,14,6,2,5,2
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,1,8,1,3,12,19,2,3,2
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,10,3,1,3,5,22,2,2,2
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,2,8,1,3,3,22,2,3,4
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,6,3,7,3,10,22,2,3,4
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,6,3,3,3,4,19,2,7,3
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,9,1,7,3,18,22,2,7,1
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,7,3,7,3,5,22,2,7,1
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1,7,3,19,19,2,5,1
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,2,2,2,3,4,22,2,5,1
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,3,3,4,3,11,22,3,2,1
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,1,7,3,20,22,2,5,1
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,7,3,4,19,4,7,1
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,6,7,3,2,22,2,5,1
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,11,2,2,3,9,22,2,4,2
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,2,2,2,3,10,22,2,5,7
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,9,9,7,3,4,19,2,7,4
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,3,5,7,3,5,19,2,7,1
