housefly,7,1,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
kiwi,2,7,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,2
ladybird,1,2,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,6
lark,2,7,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
leopard,5,2,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
lion,5,5,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
lobster,6,4,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,7
lynx,5,2,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
mink,5,4,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,1
mole,1,1,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
mongoose,5,4,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
moth,1,1,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,6
newt,1,1,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,5
octopus,6,4,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,7
opossum,4,4,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,1
oryx,2,2,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,1
ostrich,2,2,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,2
parakeet,2,7,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,2
penguin,3,7,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,2
pheasant,4,7,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
pike,3,3,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
piranha,3,5,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,4
pitviper,5,5,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,3
platypus,6,1,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,1
polecat,5,4,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
pony,2,4,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
porpoise,3,7,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1
puma,5,5,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
pussycat,5,4,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1
raccoon,4,4,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
reindeer,2,2,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1
rhea,2,2,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2
scorpion,6,5,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7
seahorse,6,4,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
seal,3,4,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1
sealion,3,4,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1
seasnake,6,4,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3
seawasp,6,4,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7
skimmer,7,2,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
skua,7,2,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2
slowworm,1,4,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3
slug,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
sole,6,1,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4
sparrow,4,7,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
squirrel,2,4,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1
starfish,6,4,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7
stingray,6,4,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4
swan,2,7,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2
termite,1,1,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6
toad,1,7,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5
tortoise,2,4,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3
tuatara,1,4,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3
tuna,3,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4
vampire,5,1,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1
vole,2,4,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1
vulture,7,2,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2
wallaby,2,4,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1
wasp,1,1,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6
wolf,5,4,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1
worm,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
wren,1,7,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2
